;mean.la;mean.sla;mean.wd;mean.h;origin;disp;dec
Acca selowiana;21,68235333;80,6982305;0,631203034;5,3;Native;z;dec
Allophylus edulis;21,36456357;182,2993557;0,552638287;7,422580645;Native;z;dec
Annona rugulosa;27,78870933;236,2808471;0,375877578;8,454545455;Native;z;dec
Araucaria angustifolia;1,714306795;79,81766906;0,531985319;10,232;Native;z;per
Baccharis uncinella;0,2812425;74,33050944;0,649045068;2,413333333;Native;nz;per
Banara tomentosa;18,21887297;302,1960405;0,784878036;NA;Native;z;dec
Berberis laurina;10,275465;79,86730117;0,6726;2,7;Native;z;per
Blepharocalyx salicifolius;10,43433333;186,2170902;0,546033868;7,79047619;Native;z;per
Calyptranthes concinna;10,06667;77,1662647;0,687647598;7,3125;Native;z;per
Campomanesia xanthocarpa;24,90536022;182,2822352;0,682249093;10,68292683;Native;z;dec
Casearia decandra;7,738461129;234,8533085;0,661067668;9,139534884;Native;z;dec
Cedrela fissilis;1200,485606;98,28278078;0,338822418;10,76666667;Native;nz;dec
Cinnamodendron dinisii;14,30573292;85,99834763;0,528924245;NA;Native;z;per
Cinnamomum amoenum;8,0765;69,25967974;0,409941833;NA;Native;z;per
Citronella gongonha;20,41681818;47,51533654;0,615243171;7,318181818;Native;z;per
Clethra scabra ;24,6858;88,84969974;0,412291665;6,8;Native;nz;per
Crinodendron brasiliense  ;5,050145;99,40216225;0,498849677;8,2;Native;nz;per
Cupania vernalis;320,042406;108,1316036;0,61631648;NA;Native;z;per
Dalbergia frutescens;46,646;178,5339062;0,554580768;10,9;Native;nz;dec
Dasyphyllum spinescens;19,336;122,1979967;0,667354611;11,8;Native;nz;dec
Dasyphyllum tomentosum;36,6142;140,9755177;0,571805775;12,5;Native;nz;dec
Drimys angustifolia;5,673154688;92,50104934;0,548054847;6,916666667;Native;z;per
Drimys brasiliensis;16,74561538;64,15973602;0,397815086;6,233333333;Native;z;per
Erythrina sp.;143,529;215,3021121;0,643438914;7,4;Native;nz;dec
Erythroxylum deciduum;19,47215;138,5120951;0,704395604;2,5;Native;z;dec
Escallonia bifida ;8,0234;154,3030967;0,527648643;4,2;Native;z;dec
Eugenia pyriformis;8,724;77,05106407;0,973254284;NA;Native;z;per
Eugenia uniflora;7,124066323;253,1534879;0,735581038;10,25;Native;z;per
Eugenia uruguayensis;7,429082143;67,1388812;0,937543551;NA;Native;z;per
Gochnatia polymorpha;36,504959;124,9448622;0,748773527;NA;Native;nz;dec
Gymnanthes klotzschiana;9,676197958;141,9440364;0,627894389;9,092307692;Native;nz;dec
Hovenia dulcis;58,7302;233,9036038;0,597311568;9,8;Exotic;z;dec
Ilex microdonta;6,703423571;76,76903176;0,704375033;6,541176471;Native;z;per
Ilex paraguariensis;34,0004;146,2771717;0,451681828;6,891666667;Native;z;per
Ilex theezans;14,80075556;69,11770748;0,726758714;9,5;Native;z;per
Inga lentiscifolia;29,981;179,227499;0,538919461;9,32;Native;z;per
Inga virescens ;87,7785;149,9778107;0,513358367;9,454545455;Native;z;per
Ligustrum lucidum;32,6416;68,40367648;0,67554697;12,8;Exotic;z;per
Lithraea brasiliensis;9,010680952;77,95443154;0,643215538;9,567567568;Native;z;per
Luehea divaricata;52,21001776;243,7815408;0,514340404;11,95;Native;nz;dec
Machaerium paraguariense;78,81899411;241,3050713;0,538475273;8,6;Native;nz;dec
