Species;Latitude;Longitude;Municipallity;Altitude;Sampling Date;Exposition;Plant Growth Form;Compound leaves;Petioles included;N;Leaf area;Leaf dry-matter;Specific Leaf Area;Methods
Acca selowiana;;;Painel/Farofa;;2018;natural environment;Tree;no;yes;10;37,385;0,28345;131,89275;Pérez-Harguindeguy, N., Díaz, S., Garnier, E., Lavorel, S., Poorter, H., Jaureguiberry, P., ... & Urcelay, C. (2013). New handbook for standardised measurement of plant functional traits worldwide. Australian Journal of botany, 61(3), 167-234.
Acca selowiana;;;Painel/Farofa;;2018;natural environment;Tree;no;yes;10;27,484;0,24406;112,6116529;Pérez-Harguindeguy, N., Díaz, S., Garnier, E., Lavorel, S., Poorter, H., Jaureguiberry, P., ... & Urcelay, C. (2013). New handbook for standardised measurement of plant functional traits worldwide. Australian Journal of botany, 61(3), 167-234.
Acca selowiana;;;Painel/Farofa;;2018;natural environment;Tree;no;yes;10;34,691;0,33652;103,0874837;Pérez-Harguindeguy, N., Díaz, S., Garnier, E., Lavorel, S., Poorter, H., Jaureguiberry, P., ... & Urcelay, C. (2013). New handbook for standardised measurement of plant functional traits worldwide. Australian Journal of botany, 61(3), 167-234.
Acca selowiana;;;Painel/Farofa;;2018;natural environment;Tree;no;yes;10;21,428;0,29551;72,51192853;Pérez-Harguindeguy, N., Díaz, S., Garnier, E., Lavorel, S., Poorter, H., Jaureguiberry, P., ... & Urcelay, C. (2013). New handbook for standardised measurement of plant functional traits worldwide. Australian Journal of botany, 61(3), 167-234.
Acca selowiana;;;Painel/Farofa;;2018;natural environment;Tree;no;yes;10;26,567;0,29716;89,40301521;Pérez-Harguindeguy, N., Díaz, S., Garnier, E., Lavorel, S., Poorter, H., Jaureguiberry, P., ... & Urcelay, C. (2013). New handbook for standardised measurement of plant functional traits worldwide. Australian Journal of botany, 61(3), 167-234.
Acca selowiana;;;Urubici/Santa Barbara;;2017;natural environment;Tree;no;yes;20;19,77025;0,29525;66,96104996;Perez-Harguindeguy, N. et al.  (2013). New handbook for standardised measurement of plant functional traits worldwide Australian Journal of botany, 61(3), 167-234.
Acca selowiana;;;Urubici/Santa Barbara;;2017;natural environment;Tree;no;yes;20;17,1475;0,29;59,12931034;Perez-Harguindeguy, N. et al.  (2013). New handbook for standardised measurement of plant functional traits worldwide Australian Journal of botany, 61(3), 167-234.
Acca selowiana;;;Urubici/Santa Barbara;;2017;natural environment;Tree;no;yes;20;12,4643;0,229395;54,33553478;Perez-Harguindeguy, N. et al.  (2013). New handbook for standardised measurement of plant functional traits worldwide Australian Journal of botany, 61(3), 167-234.
Acca selowiana;;;Urubici/Santa Barbara;;2017;natural environment;Tree;no;yes;20;12,2579;0,2203;55,64185202;Perez-Harguindeguy, N. et al.  (2013). New handbook for standardised measurement of plant functional traits worldwide Australian Journal of botany, 61(3), 167-234.
Acca selowiana;;;Urubici/Santa Barbara;;2017;natural environment;Tree;no;yes;20;10,16465;0,193555;52,51556405;Perez-Harguindeguy, N. et al.  (2013). New handbook for standardised measurement of plant functional traits worldwide Australian Journal of botany, 61(3), 167-234.
Acca selowiana;;;Urubici/Santa Barbara;;2017;natural environment;Tree;no;yes;20;17,9885;0,33409;53,84327576;Perez-Harguindeguy, N. et al.  (2013). New handbook for standardised measurement of plant functional traits worldwide Australian Journal of botany, 61(3), 167-234.
Acca selowiana;;;Urubici/Santa Barbara;;2017;natural environment;Tree;no;yes;20;19,08955;0,164685;115,9155357;Perez-Harguindeguy, N. et al.  (2013). New handbook for standardised measurement of plant functional traits worldwide Australian Journal of botany, 61(3), 167-234.
Acca selowiana;;;Urubici/Santa Barbara;;2017;natural environment;Tree;no;yes;20;19,43955;0,2621;74,16844716;Perez-Harguindeguy, N. et al.  (2013). New handbook for standardised measurement of plant functional traits worldwide Australian Journal of botany, 61(3), 167-234.
Acca selowiana;;;Urubici/Santa Barbara;;2017;natural environment;Tree;no;yes;20;20,8554;0,283585;73,54197154;Perez-Harguindeguy, N. et al.  (2013). New handbook for standardised measurement of plant functional traits worldwide Australian Journal of botany, 61(3), 167-234.
Acca selowiana;;;Urubici/Santa Barbara;;2017;natural environment;Tree;no;yes;20;28,5027;0,3003;94,91408591;Perez-Harguindeguy, N. et al.  (2013). New handbook for standardised measurement of plant functional traits worldwide Australian Journal of botany, 61(3), 167-234.
Allophylus edulis;-28,34;-49,62;Bom Jardim da Serra;;2016;natural environment;Tree;yes;yes;200;9,619;0,088816;108,3025581;Perez-Harguindeguy, N. et al.  (2013). New handbook for standardised measurement of plant functional traits worldwide Australian Journal of botany, 61(3), 167-234.
Allophylus edulis;-28,1948;-50,7464;Capao Alto;730;2014;natural environment;Tree;yes;yes;20;32,900681;0,1774;185,4238521;Perez-Harguindeguy, N. et al.  (2013). New handbook for standardised measurement of plant functional traits worldwide Australian Journal of botany, 61(3), 167-234.
Allophylus edulis;-28,1948;-50,7464;Capao Alto;730;2014;natural environment;Tree;yes;yes;20;21,857203;0,1021;214,1603312;Perez-Harguindeguy, N. et al.  (2013). New handbook for standardised measurement of plant functional traits worldwide Australian Journal of botany, 61(3), 167-234.
Allophylus edulis;-28,1948;-50,7464;Capao Alto;730;2014;natural environment;Tree;yes;yes;20;27,88551425;0,1381;201,8787682;Perez-Harguindeguy, N. et al.  (2013). New handbook for standardised measurement of plant functional traits worldwide Australian Journal of botany, 61(3), 167-234.
Allophylus edulis;-28,1948;-50,7464;Capao Alto;730;2014;natural environment;Tree;yes;yes;20;31,0835793;0,1311;237,1615557;Perez-Harguindeguy, N. et al.  (2013). New handbook for standardised measurement of plant functional traits worldwide Australian Journal of botany, 61(3), 167-234.
Allophylus edulis;-28,1948;-50,7464;Capao Alto;730;2014;natural environment;Tree;yes;yes;20;33,48111765;0,2251;148,7091326;Perez-Harguindeguy, N. et al.  (2013). New handbook for standardised measurement of plant functional traits worldwide Australian Journal of botany, 61(3), 167-234.
Allophylus edulis;-28,1948;-50,7464;Capao Alto;730;2014;natural environment;Tree;yes;yes;20;26,92717525;0,1589;169,4172345;Perez-Harguindeguy, N. et al.  (2013). New handbook for standardised measurement of plant functional traits worldwide Australian Journal of botany, 61(3), 167-234.
Allophylus edulis;-28,1948;-50,7464;Capao Alto;730;2014;natural environment;Tree;yes;yes;20;32,3032278;0,1638;197,1873263;Perez-Harguindeguy, N. et al.  (2013). New handbook for standardised measurement of plant functional traits worldwide Australian Journal of botany, 61(3), 167-234.
Allophylus edulis;-28,1948;-50,7464;Capao Alto;730;2014;natural environment;Tree;yes;yes;20;20,8982948;0,1025;203,8162071;Perez-Harguindeguy, N. et al.  (2013). New handbook for standardised measurement of plant functional traits worldwide Australian Journal of botany, 61(3), 167-234.
Allophylus edulis;-28,1948;-50,7464;Capao Alto;730;2014;natural environment;Tree;yes;yes;20;26,77078575;0,1279;209,253025;Perez-Harguindeguy, N. et al.  (2013). New handbook for standardised measurement of plant functional traits worldwide Australian Journal of botany, 61(3), 167-234.
Allophylus edulis;-28,1948;-50,7464;Capao Alto;730;2014;natural environment;Tree;yes;yes;20;25,3839311;0,1049;242,0398675;Perez-Harguindeguy, N. et al.  (2013). New handbook for standardised measurement of plant functional traits worldwide Australian Journal of botany, 61(3), 167-234.
Allophylus edulis;-27,11;-52,75;Chapeco;;2016;natural environment;Tree;yes;yes;20;14,4895;0,08206;176,5720205;Perez-Harguindeguy, N. et al.  (2013). New handbook for standardised measurement of plant functional traits worldwide Australian Journal of botany, 61(3), 167-234.
Allophylus edulis;-27,11;-52,75;Chapeco;;2016;natural environment;Tree;yes;yes;20;15,28935;0,04435;344,7429538;Perez-Harguindeguy, N. et al.  (2013). New handbook for standardised measurement of plant functional traits worldwide Australian Journal of botany, 61(3), 167-234.
Allophylus edulis;-27,11;-52,75;Chapeco;;2016;natural environment;Tree;yes;yes;20;15,0092;0,06515;230,3791251;Perez-Harguindeguy, N. et al.  (2013). New handbook for standardised measurement of plant functional traits worldwide Australian Journal of botany, 61(3), 167-234.
Allophylus edulis;-27,11;-52,75;Chapeco;;2016;natural environment;Tree;yes;yes;20;11,58585;0,048375;239,5007752;Perez-Harguindeguy, N. et al.  (2013). New handbook for standardised measurement of plant functional traits worldwide Australian Journal of botany, 61(3), 167-234.
Allophylus edulis;-27,11;-52,75;Chapeco;;2016;natural environment;Tree;yes;yes;20;16,95835;0,09049;187,4057907;Perez-Harguindeguy, N. et al.  (2013). New handbook for standardised measurement of plant functional traits worldwide Australian Journal of botany, 61(3), 167-234.
Allophylus edulis;-27,11;-52,75;Chapeco;;2016;natural environment;Tree;yes;yes;20;17,03045;0,096285;176,8754219;Perez-Harguindeguy, N. et al.  (2013). New handbook for standardised measurement of plant functional traits worldwide Australian Journal of botany, 61(3), 167-234.
Allophylus edulis;-27,11;-52,75;Chapeco;;2016;natural environment;Tree;yes;yes;20;14,08725;0,066975;210,3359462;Perez-Harguindeguy, N. et al.  (2013). New handbook for standardised measurement of plant functional traits worldwide Australian Journal of botany, 61(3), 167-234.
Allophylus edulis;-27,11;-52,75;Chapeco;;2016;natural environment;Tree;yes;yes;20;15,0302;0,06451;232,9902341;Perez-Harguindeguy, N. et al.  (2013). New handbook for standardised measurement of plant functional traits worldwide Australian Journal of botany, 61(3), 167-234.
Allophylus edulis;-27,11;-52,75;Chapeco;;2016;natural environment;Tree;yes;yes;20;15,0304;0,074185;202,606996;Perez-Harguindeguy, N. et al.  (2013). New handbook for standardised measurement of plant functional traits worldwide Australian Journal of botany, 61(3), 167-234.
Allophylus edulis;-27,11;-52,75;Chapeco;;2016;natural environment;Tree;yes;yes;20;15,5289;0,074475;208,5115811;Perez-Harguindeguy, N. et al.  (2013). New handbook for standardised measurement of plant functional traits worldwide Australian Journal of botany, 61(3), 167-234.
Allophylus edulis;;;Lages/PARNAMUL;;2017;natural environment;Tree;yes;yes;10;28,956;0,197;146,9847716;Perez-Harguindeguy, N. et al.  (2013). New handbook for standardised measurement of plant functional traits worldwide Australian Journal of botany, 61(3), 167-234.
Allophylus edulis;;;Lages/PARNAMUL;;2017;natural environment;Tree;yes;yes;10;21,002;0,27;77,78518519;Perez-Harguindeguy, N. et al.  (2013). New handbook for standardised measurement of plant functional traits worldwide Australian Journal of botany, 61(3), 167-234.
Allophylus edulis;;;Lages/PARNAMUL;;2017;natural environment;Tree;yes;yes;10;28,612;0,254;112,6456693;Perez-Harguindeguy, N. et al.  (2013). New handbook for standardised measurement of plant functional traits worldwide Australian Journal of botany, 61(3), 167-234.
Allophylus edulis;;;Lages/PARNAMUL;;2017;natural environment;Tree;yes;yes;10;24,632;0,253;97,35968379;Perez-Harguindeguy, N. et al.  (2013). New handbook for standardised measurement of plant functional traits worldwide Australian Journal of botany, 61(3), 167-234.
Allophylus edulis;;;Lages/PARNAMUL;;2017;natural environment;Tree;yes;yes;10;21,328;0,311;68,57877814;Perez-Harguindeguy, N. et al.  (2013). New handbook for standardised measurement of plant functional traits worldwide Australian Journal of botany, 61(3), 167-234.
Allophylus edulis;-27,8616;-50,192;Sao Jose do Cerrito;968;2013;natural environment;Tree;yes;yes;200;17,347;0,1022895;169,5872988;Perez-Harguindeguy, N. et al.  (2013). New handbook for standardised measurement of plant functional traits worldwide Australian Journal of botany, 61(3), 167-234.
Allophylus edulis;-26,22;-50,3;Tres Barras;;2016;natural environment;Tree;yes;yes;200;17,18082;0,180587;104,1698704;Perez-Harguindeguy, N. et al.  (2013). New handbook for standardised measurement of plant functional traits worldwide Australian Journal of botany, 61(3), 167-234.
Annona rugulosa;-28,1948;-50,7464;Capao Alto;730;2014;natural environment;Tree;yes;yes;20;36,84833;0,2091;176,2571982;Perez-Harguindeguy, N. et al.  (2013). New handbook for standardised measurement of plant functional traits worldwide Australian Journal of botany, 61(3), 167-234.
Annona rugulosa;-28,1948;-50,7464;Capao Alto;730;2014;natural environment;Tree;yes;yes;20;24,1486532;0,097;249,0835812;Perez-Harguindeguy, N. et al.  (2013). New handbook for standardised measurement of plant functional traits worldwide Australian Journal of botany, 61(3), 167-234.
Annona rugulosa;-28,1948;-50,7464;Capao Alto;730;2014;natural environment;Tree;yes;yes;20;18,422575;0,066;278,9397381;Perez-Harguindeguy, N. et al.  (2013). New handbook for standardised measurement of plant functional traits worldwide Australian Journal of botany, 61(3), 167-234.
Annona rugulosa;-28,1948;-50,7464;Capao Alto;730;2014;natural environment;Tree;yes;yes;20;32,8792716;0,1145;287,1050611;Perez-Harguindeguy, N. et al.  (2013). New handbook for standardised measurement of plant functional traits worldwide Australian Journal of botany, 61(3), 167-234.
