Species;Latitude;Longitude;Municipallity;Altitude;Sampling Date;Exposition;Plant Growth Form;Circumference at breast height (1,30m);Height;Wood Density;Methods
Acca selowiana;;;Painel/Farofa;;2018;natural environment;tree;44;8;0,566568047;Pérez-Harguindeguy, N., Díaz, S., Garnier, E., Lavorel, S., Poorter, H., Jaureguiberry, P., ... & Urcelay, C. (2013). New handbook for standardised measurement of plant functional traits worldwide. Australian Journal of botany, 61(3), 167-234.
Acca selowiana;;;Painel/Farofa;;2018;natural environment;tree;43;5,5;0,618181818;Pérez-Harguindeguy, N., Díaz, S., Garnier, E., Lavorel, S., Poorter, H., Jaureguiberry, P., ... & Urcelay, C. (2013). New handbook for standardised measurement of plant functional traits worldwide. Australian Journal of botany, 61(3), 167-234.
Acca selowiana;;;Painel/Farofa;;2018;natural environment;tree;46,4;7;0,631727749;Pérez-Harguindeguy, N., Díaz, S., Garnier, E., Lavorel, S., Poorter, H., Jaureguiberry, P., ... & Urcelay, C. (2013). New handbook for standardised measurement of plant functional traits worldwide. Australian Journal of botany, 61(3), 167-234.
Acca selowiana;;;Painel/Farofa;;2018;natural environment;tree;47,8;4,5;0,601451613;Pérez-Harguindeguy, N., Díaz, S., Garnier, E., Lavorel, S., Poorter, H., Jaureguiberry, P., ... & Urcelay, C. (2013). New handbook for standardised measurement of plant functional traits worldwide. Australian Journal of botany, 61(3), 167-234.
Acca selowiana;;;Painel/Farofa;;2018;natural environment;tree;54,4;6,5;0,610116279;Pérez-Harguindeguy, N., Díaz, S., Garnier, E., Lavorel, S., Poorter, H., Jaureguiberry, P., ... & Urcelay, C. (2013). New handbook for standardised measurement of plant functional traits worldwide. Australian Journal of botany, 61(3), 167-234.
Acca selowiana;;;Urubici/Santa Barbara;;2017;natural environment;tree;35,7;5;0,628;Perez-Harguindeguy, N. et al. (2013). New handbook for standardised measurement of plant functional traits worldwide.Australian Journal of botany,c61(3), 167-234.
Acca selowiana;;;Urubici/Santa Barbara;;2017;natural environment;tree;48,3;3,5;0,63;Perez-Harguindeguy, N. et al. (2013). New handbook for standardised measurement of plant functional traits worldwide.Australian Journal of botany,c61(3), 167-234.
Acca selowiana;;;Urubici/Santa Barbara;;2017;natural environment;tree;36;4,5;0,609;Perez-Harguindeguy, N. et al. (2013). New handbook for standardised measurement of plant functional traits worldwide.Australian Journal of botany,c61(3), 167-234.
Acca selowiana;;;Urubici/Santa Barbara;;2017;natural environment;tree;68;4;0,667;Perez-Harguindeguy, N. et al. (2013). New handbook for standardised measurement of plant functional traits worldwide.Australian Journal of botany,c61(3), 167-234.
Acca selowiana;;;Urubici/Santa Barbara;;2017;natural environment;tree;34;5;0,697;Perez-Harguindeguy, N. et al. (2013). New handbook for standardised measurement of plant functional traits worldwide.Australian Journal of botany,c61(3), 167-234.
Acca selowiana;;;Urubici/Santa Barbara;;2017;natural environment;tree;33,5;5;0,644;Perez-Harguindeguy, N. et al. (2013). New handbook for standardised measurement of plant functional traits worldwide.Australian Journal of botany,c61(3), 167-234.
Acca selowiana;;;Urubici/Santa Barbara;;2017;natural environment;tree;32;6;0,674;Perez-Harguindeguy, N. et al. (2013). New handbook for standardised measurement of plant functional traits worldwide.Australian Journal of botany,c61(3), 167-234.
Acca selowiana;;;Urubici/Santa Barbara;;2017;natural environment;tree;50;5;0,635;Perez-Harguindeguy, N. et al. (2013). New handbook for standardised measurement of plant functional traits worldwide.Australian Journal of botany,c61(3), 167-234.
Acca selowiana;;;Urubici/Santa Barbara;;2017;natural environment;tree;32;4;0,616;Perez-Harguindeguy, N. et al. (2013). New handbook for standardised measurement of plant functional traits worldwide.Australian Journal of botany,c61(3), 167-234.
Acca selowiana;;;Urubici/Santa Barbara;;2017;natural environment;tree;32,5;6;0,64;Perez-Harguindeguy, N. et al. (2013). New handbook for standardised measurement of plant functional traits worldwide.Australian Journal of botany,c61(3), 167-234.
Allophylus edulis;-28,34;-49,62;Bom Jardim da Serra;;2016;natural environment;tree;48;7;0,56070922;Perez-Harguindeguy, N. et al. (2013). New handbook for standardised measurement of plant functional traits worldwide.Australian Journal of botany,c61(3), 167-234.
Allophylus edulis;-28,34;-49,62;Bom Jardim da Serra;;2016;natural environment;tree;44;8,5;0,5315;Perez-Harguindeguy, N. et al. (2013). New handbook for standardised measurement of plant functional traits worldwide.Australian Journal of botany,c61(3), 167-234.
Allophylus edulis;-28,34;-49,62;Bom Jardim da Serra;;2016;natural environment;tree;67;9;0,452692308;Perez-Harguindeguy, N. et al. (2013). New handbook for standardised measurement of plant functional traits worldwide.Australian Journal of botany,c61(3), 167-234.
